,017c_7byte
23961,00111011
23974,00001011
23985,00001111
23997,00011110
24001,00111010
24017,00101010
24028,00111001
24037,00001101
24061,00110111
24066,00111000
24086,00001100
24098,00011011
24105,00111000
24125,00001001
24138,00110111
24154,00110001
24181,00010110
24182,00110100
24195,00000111
24215,00000110
24233,00100011
24245,00010000
24261,00101111
24273,00011111
24285,00101110
24289,00010000
24300,00101111
24308,00110100
24319,00001000
24329,00100000
24341,00111111
24346,00110011
24356,00000110
24367,00000110
24381,00110100
24398,00001000
24414,00110101
24430,00110011
24440,00000110
24453,00000111
24468,00110101
24477,00001000
24488,00111000
24499,00000010
24514,00110011
24523,00000110
24534,00010101
24546,00111100
24555,00001111
24569,00000100
24585,00011011
24595,00101010
24604,00010110
24625,00011011
24633,00011100
24644,00101011
24649,00101111
24670,00000100
24685,00010011
24692,00111111
24708,00111111
24731,00010100
24737,00010110
24747,00100101
24753,00010110
24763,00100101
24774,00110100
24787,00100111
24801,00110110
24809,00000110
24827,00110110
24837,00001001
24848,00110011
24867,00010111
24889,00001000
24904,00010111
24919,00100110
24931,00101010
24947,00110001
24957,00001110
24961,00110000
24971,00000100
24979,00101011
24995,00001011
25010,00001010
25025,00011001
25043,00010100
25058,00110011
25065,00011100
25075,00101011
25081,00000000
25101,00001101
25113,00000010
25138,00011011
25148,00101010
25157,00010001
25176,00110000
25188,00000010
25201,00111100
25211,00001100
25223,00100101
25237,00100010
25253,00101100
25274,00001110
25287,00011001
25297,00101000
25304,00100000
25317,00111101
25328,00011101
25337,00011101
25347,00101110
25356,00000100
25373,00001100
25412,00101111
25434,00110110
25438,00101010
25453,00111001
25459,00011001
25469,00101000
25471,00011101
25481,00101111
25503,00111110
25519,00111111
25532,00000110
25548,00101011
25567,00110000
25584,00001101
25596,00101110
25608,00111101
25621,00100111
25636,00000000
25648,00110110
25660,00001001
25670,00010101
25684,00110011
25700,00111001
25717,00011011
25730,00101010
25740,00111010
25756,00000101
25771,00110011
25786,00100011
25795,00110010
25806,00000000
25820,00101101
25832,00110100
25844,00000111
25857,00100001
25867,00110000
25876,00111001
25893,00000100
25909,00111000
25927,00000111
25939,00101110
25951,00000100
25962,00010010
25985,00100000
25994,00101101
26005,00111011
26015,00010010
26028,00010011
26043,00110111
26062,00010111
26076,00100110
26084,00100111
26101,00011000
26120,00101000
26132,00001111
26153,00101101
26164,00101010
26184,00101001
26195,00111000
26205,00111100
26222,00011101
26237,00110100
26253,00011010
26268,00110000
26283,00110101
26302,00010100
26316,00100100
26329,00000011
26335,00001100
26346,00011011
26358,00010101
26374,00011011
26387,00001011
26395,00011000
26403,00000000
26419,00010111
26433,00100110
26445,00010010
26460,00011111
26478,00010001
26497,00000010
26513,00101010
26526,00110101
26540,00011011
26554,00101000
26566,00111011
26579,00010001
26598,00010101
26613,00110011
26628,00110001
26643,00110101
26663,00101111
26675,00111110
26686,00010000
26701,00101100
26715,00110111
26725,00000110
26733,00100100
26744,00110001
26754,00000101
26770,00111000
26780,00001011
26788,00011111
26802,00111010
26810,00000111
26818,00111011
26827,00001011
26837,00010001
26853,00000000
26870,00110010
26884,00001100
26898,00010000
26908,00101110
26924,00111101
26939,00110100
26949,00000110
26962,00011100
26967,00100111
26988,00001010
26999,00110000
27010,00000011
27028,00010000
27044,00000111
27063,00001100
27076,00010101
27092,00011110
27105,00110111
27115,00000010
27133,00101110
27149,00011001
27170,00111010
27181,00010100
27190,00011011
27201,00101010
27216,00000011
27222,00000001
27235,00010000
27255,00000100
27265,00011110
27276,00101101
27283,00011010
27300,00110000
27310,00011110
27321,00101001
27328,00010000
